,Date Reported,Time Reported,Symbol,EPS Num of Estimates,EPS Delta,EPS Surprise,EPS Wall St,EPS Estimize,EPS Actual,Revenue Num of Estimates,Revenue Delta,Revenue Surprise,Revenue Wall St,Revenue Estimize,Revenue Actual,5 Day Change,10 Day Change,5 Day Change Abnormal,10 Day Change Abnormal,Historical EPS Beat Ratio,Historical EPS Beat Percent,Average Change 5 Days,Average Abnormal Change 5 Days,Average Change 10 Days,Average Abnormal Change 10 Days,YoY Growth
0,2019-11-26,BMOFQ3 '20,BBY,33,0.03,0.06,1.04,1.07,1.13,31,-1.15,33.19,9732.0,9731.0,9764.0,0.0887613679712469,0.09152945310628025,0.07976629021504977,0.07149118596077053,0.875,0.055630220055232785,-0.03351590553094351,-0.03328303824740993,-0.034179953945020825,-0.03777460435208678,
1,2019-08-29,BMOFQ2 '20,BBY,35,0.05,0.04,0.99,1.04,1.08,34,54.48,-90.95,9572.0,9627.0,9536.0,-0.06646081922934932,-0.016878292376630744,-0.07216676267742217,-0.03817114127361221,0.875,0.07519413881269993,-0.0016233867701107019,-0.002360682954500176,-0.00661870580278949,-0.013583056434406604,
2,2019-05-23,BMOFQ1 '20,BBY,41,0.02,0.12,0.88,0.9,1.02,40,34.58,-34.78,9142.0,9177.0,9142.0,-0.03220118177646092,-0.08672124360295852,-0.021680034810473536,-0.07453729104976914,0.875,0.0889970283895833,0.023913555512213885,0.021304922596581066,0.02451774424845561,0.01565249446461396,
3,2019-02-27,BMOFQ4 '19,BBY,50,0.04,0.12,2.57,2.6,2.72,46,101.95,-15.82,14715.0,14817.0,14801.0,0.13846151904461546,0.14490099810401103,0.13306000685857455,0.12973896688471598,0.875,0.1062095952345031,0.0052300151974110365,0.0011993834780299473,-0.0017778090842489463,-0.008723750961411744,
4,2018-11-20,BMOFQ3 '19,BBY,41,0.05,0.03,0.85,0.9,0.93,38,74.94,-32.64,9548.0,9623.0,9590.0,-0.0606239633391954,-0.1169030216388881,-0.02400298139138446,-0.06848104959816192,0.875,0.11116426527456214,0.023042920446501663,0.011577264744535049,0.03726036756056608,0.015212651802702093,
5,2018-08-28,BMOFQ2 '19,BBY,69,0.03,0.05,0.83,0.86,0.91,66,75.41,44.47,9259.0,9335.0,9379.0,-0.0528693742415437,-0.0088167955861429,-0.06700120744400195,-0.035518433147382344,0.875,0.11344247486984488,0.020230435192263668,0.007962138978996253,0.023275021255894424,0.0052742230342264634,
6,2018-05-24,BMOFQ1 '19,BBY,47,0.03,0.04,0.75,0.78,0.82,46,116.25,273.2,8720.0,8836.0,9109.0,-0.09739021296839678,-0.07344479043043362,-0.10173449062465756,-0.07579628999777599,0.875,0.14305919960852087,0.03503823836866532,0.03635759428052571,0.039255623111456445,0.03352307325709003,
7,2017-11-16,BMOFQ3 '18,BBY,82,0.03,-0.03,0.79,0.81,0.78,80,49.02,-81.83,9353.0,9402.0,9320.0,-0.01672893129885522,-0.03425972934519095,-0.020182095823441992,-0.037557266450918725,1.0,0.16813716218648345,0.03802579767984193,0.03915309508411852,0.03904194147463795,0.032168570755522,
8,2017-03-01,BMOFQ4 '17,BBY,102,0.0,0.29,1.66,1.66,1.95,103,-14.82,-111.05,13608.0,13593.0,13482.0,-0.0803142804383622,-0.08131675668393279,-0.0925567400664723,-0.10187433018378989,1.0,0.15714876994809118,0.05097053901685268,0.05394705659762962,0.04907904716963256,0.04390492131744607,
9,2016-11-17,BMOFQ3 '17,BBY,80,0.02,0.12,0.47,0.5,0.62,80,31.45,72.67,8841.0,8872.0,8945.0,0.18867933085731314,0.20361169276121993,0.17521207966585584,0.1553612420678292,1.0,0.15248647156099443,0.03129785446821547,0.036623481873597305,0.03418091903330163,0.033685952738715344,
10,2016-08-23,BMOFQ2 '17,BBY,67,0.02,0.13,0.42,0.44,0.57,66,8.4,123.7,8401.0,8409.0,8533.0,0.17209435648213578,0.1623703568070023,0.1676448095981764,0.15934711614239538,1.0,0.1552276996311699,0.00293266284522542,0.0073003841189090025,0.01409470526041183,0.010091694724669684,
11,2016-05-24,BMOFQ1 '17,BBY,73,0.02,0.08,0.35,0.36,0.44,73,0.55,148.89,8294.0,8294.0,8443.0,-0.011006803473807336,-0.06546342855762544,-0.0277843060898344,-0.06527099652348967,1.0,0.170379214782685,0.008769457103188358,0.013949285634802735,0.02575665714500315,0.020477668388928408,
12,2016-02-25,BMOFQ4 '16,BBY,45,0.02,0.11,1.4,1.42,1.53,45,-34.6,-25.35,13683.0,13648.0,13623.0,0.08187927865352962,0.19540239151963212,0.05902006874065635,0.12301017251474877,1.0,0.1815535770006905,0.0015079039398484381,0.008892256244677266,0.005577214291465835,0.005904975837914758,
13,2015-11-19,BMOFQ3 '16,BBY,70,0.02,0.03,0.35,0.38,0.41,69,18.27,-41.7,8842.0,8861.0,8819.0,-0.07536925627544766,-0.12069956602351617,-0.09592221356831232,-0.11502586329518738,1.0,0.2071294577594981,-0.0038957197177599745,0.00403962335246612,0.005510563739941868,0.003716922411322321,
14,2015-08-25,BMOFQ2 '16,BBY,39,0.01,0.14,0.34,0.35,0.49,39,23.7,203.13,8301.0,8325.0,8528.0,0.02107221244281643,0.05440002441406255,0.12542915178757807,0.15019451178513255,1.0,0.2807901720452124,0.010916471543642123,0.0072722080120588084,0.013492044856669869,0.002391212825251718,
15,2015-05-21,BMOFQ1 '16,BBY,22,0.01,0.06,0.29,0.31,0.37,22,39.79,7.43,8511.0,8551.0,8558.0,0.007171543190557683,-0.0359691824397389,0.0021819106053004855,-0.04839328646346297,1.0,0.2878636517749421,0.005308023245460235,0.0004626879615321806,0.016210026398769686,0.003006561472683203,
16,2015-03-03,BMOFQ4 '15,BBY,25,0.04,0.09,1.35,1.39,1.48,25,153.56,-357.32,14413.0,14566.0,14209.0,0.02324365025772379,-0.001019911123975925,0.025794952041616526,-0.00798352568839733,1.0,0.28483547115529806,0.0028248856738929723,-0.0018982127678585409,0.025989112265670147,0.013918508201011842,
17,2014-11-20,BMOFQ3 '15,BBY,33,0.02,0.05,0.25,0.27,0.32,33,-8.73,293.79,9095.0,9086.0,9380.0,,0.0844266676705725,,0.0736094934379834,1.0,0.30320482417748357,0.0028248856738929723,-0.0018982127678585409,0.01764089006496981,0.005391224595730192,
18,2014-08-26,BMOFQ2 '15,BBY,20,0.02,0.11,0.31,0.33,0.44,20,9.54,-81.79,8968.0,8978.0,8896.0,-0.026461984878794587,0.0016806466238838969,-0.0376168746846417,-0.0294069479699699,1.0,0.3120722948737308,0.0077060307660075655,0.004054897551605319,0.020300930638484132,0.011190920023346873,
19,2014-05-22,BMOFQ1 '15,BBY,17,0.04,0.1,0.19,0.23,0.33,17,63.21,-263.0,9235.0,9298.0,9035.0,0.029850756331933237,0.02783218651910513,0.018758004521421734,0.017816792790580127,1.0,0.31388069324241635,0.0032770856528224314,0.0011142761576420357,0.01879467946235993,0.009865745469900222,
20,2014-02-27,BMOFQ4 '14,BBY,14,0.02,0.2,1.01,1.04,1.24,14,98.95,-312.84,14684.0,14783.0,14470.0,0.031048406510150173,0.033966848691333595,0.02362086300977806,0.006428632106639576,1.0,0.3520282859078591,-0.003665744561509504,-0.00451237055539197,0.015001637155116515,0.010725023810715384,
21,2013-11-19,BMOFQ3 '14,BBY,20,0.02,0.05,0.11,0.13,0.18,20,59.68,-71.08,9373.0,9433.0,9362.0,-0.11319462187870655,-0.1212327704357079,-0.12989064381379034,-0.13253029070792688,,,,,,,
